Identification Number,Email Address,Survey 1 Total,Survey 2 Total
5835,daveed@yahoo.com,18,8
6915,gumpish@sbcglobal.net,0,1
6458,hedwig@hotmail.com,15,3
7045,kimvette@comcast.net,15,12
2828,bsikdar@aol.com,12,8
7019,animats@verizon.net,15,1
9722,claesjac@yahoo.ca,17,7
4902,kronvold@live.com,13,6
6269,jsnover@comcast.net,17,9
7383,miyop@outlook.com,11,3
4943,onestab@optonline.net,12,9
5236,ubergeeb@sbcglobal.net,1,8
3946,lipeng@yahoo.com,19,9
4585,dmiller@aol.com,4,9
4060,joelw@icloud.com,18,6
6054,ryanshaw@optonline.net,16,9
4184,stellaau@outlook.com,14,8
1130,jamuir@live.com,4,13
5321,irving@sbcglobal.net,3,4
9304,ournews@live.com,14,11
6089,mrobshaw@verizon.net,9,15
2577,heidrich@yahoo.com,3,15
8314,miltchev@gmail.com,5,8
2506,campware@gmail.com,18,5
7178,kdawson@sbcglobal.net,17,9
5628,empathy@comcast.net,1,5
4194,credmond@optonline.net,9,3
8363,krueger@comcast.net,16,0
4218,cfhsoft@me.com,1,1
9262,maneesh@gmail.com,7,8
1896,rwelty@me.com,4,6
4885,peterhoeg@outlook.com,19,13
6389,boftx@yahoo.ca,3,10
7787,wmszeliga@att.net,11,10
2810,jugalator@msn.com,1,1
4554,marin@live.com,1,4
8701,stellaau@gmail.com,9,3
9397,doche@yahoo.com,0,2
8835,konst@hotmail.com,2,1
6336,yzheng@yahoo.ca,12,7
1683,hermes@aol.com,16,12
3611,meinkej@optonline.net,6,8
2041,tristan@me.com,20,6
6158,drolsky@hotmail.com,10,13
2528,ntegrity@live.com,11,8
9635,hamilton@mac.com,12,13
7199,amcuri@sbcglobal.net,4,6
6057,smallpaul@hotmail.com,11,4
2578,druschel@sbcglobal.net,16,8
6739,hamilton@icloud.com,4,12
9969,nelson@aol.com,16,12
7844,papathan@msn.com,19,12
6060,dowdy@live.com,5,14
2838,gfody@sbcglobal.net,20,12
4198,ganter@optonline.net,11,12
5019,lstaf@mac.com,6,6
5935,sburke@hotmail.com,9,11
9065,dpitts@me.com,2,13
3878,mcsporran@aol.com,0,4
3085,lushe@live.com,14,15
3106,keutzer@verizon.net,15,12
6819,roesch@icloud.com,16,3
6700,frode@att.net,7,2
9641,wkrebs@sbcglobal.net,17,6
6332,djpig@att.net,11,2
9673,staffelb@outlook.com,20,3
6496,cumarana@aol.com,9,1
4525,crimsane@optonline.net,10,11
1473,andersbr@me.com,7,14
2053,arandal@gmail.com,2,7
1604,lipeng@optonline.net,18,10
8548,gtewari@gmail.com,16,5
3144,ahuillet@yahoo.ca,20,5
1620,mdielmann@msn.com,17,6
8095,lpalmer@hotmail.com,12,5
4269,chrisk@yahoo.ca,4,8
6360,yamla@live.com,12,15
5349,luebke@yahoo.com,2,12
8206,jshearer@gmail.com,0,15
3779,danny@mac.com,14,10
2280,pgolle@gmail.com,4,12
5448,ijackson@att.net,19,2
9800,reziac@optonline.net,1,1
5910,elmer@att.net,7,8
8094,jorgb@hotmail.com,0,12
7479,bahwi@msn.com,11,1
3564,kidehen@verizon.net,17,10
6482,rhavyn@msn.com,3,11
9696,lauronen@hotmail.com,6,10
7139,magusnet@verizon.net,2,8
9686,inico@optonline.net,17,14
1681,choset@icloud.com,0,2
8577,danneng@hotmail.com,13,11
4655,plover@yahoo.ca,9,15
7839,preneel@outlook.com,20,4
2083,maikelnai@me.com,3,7
7514,wenzlaff@msn.com,7,11
3433,rhavyn@optonline.net,19,8
7291,malattia@hotmail.com,1,3
7580,oster@mac.com,8,12
7980,kassiesa@yahoo.com,3,5
3358,webinc@gmail.com,2,3
1219,ajohnson@me.com,8,11
3069,ghaviv@me.com,19,14
5653,rkobes@msn.com,7,5
8266,jginspace@yahoo.com,2,1
1015,crowemojo@att.net,15,9
